tenor,generator,quote
ON,EUR_3M_MANUAL,-0.008452
TN,EUR_3M_MANUAL,-0.008452
1M,EUR_3M_MANUAL,-0.006815
2M,EUR_3M_MANUAL,-0.005172
3M,EUR MM FIX,-0.00338
4M,EUR EURIBOR 3M RC,-0.00104
5M,EUR EURIBOR 3M RC,0.00108
6M,EUR EURIBOR 3M RC,0.00284
7M,EUR EURIBOR 3M RC,0.0046
8M,EUR EURIBOR 3M RC,0.00608
9M,EUR EURIBOR 3M RC,0.00756
10M,EUR EURIBOR 3M RC,0.00907
11M,EUR EURIBOR 3M RC,0.01046
1Y,EUR_ESTCRV_3M,0.00479
13M,EUR EURIBOR 3M RC,0.01298
14M,EUR EURIBOR 3M RC,0.0138
1Y3M,EUR_ESTCRV_3M,0.00686
1Y6M,EUR_ESTCRV_3M,0.00845
1Y9M,EUR_ESTCRV_3M,0.00969
2Y,EUR_ESTCRV_3M,0.01065
2Y3M,EUR_ESTCRV_3M,
2Y6M,EUR_ESTCRV_3M,
2Y9M,EUR_ESTCRV_3M,
3Y,EUR_ESTCRV_3M,0.0127
3Y3M,EUR_ESTCRV_3M,
3Y6M,EUR_ESTCRV_3M,
3Y9M,EUR_ESTCRV_3M,
4Y,EUR_ESTCRV_3M,0.01394
4Y3M,EUR_ESTCRV_3M,
4Y6M,EUR_ESTCRV_3M,
4Y9M,EUR_ESTCRV_3M,
5Y,EUR_ESTCRV_3M,0.01485
5Y3M,EUR_ESTCRV_3M,
5Y6M,EUR_ESTCRV_3M,
5Y9M,EUR_ESTCRV_3M,
6Y,EUR_ESTCRV_3M,0.01558
6Y3M,EUR_ESTCRV_3M,
6Y6M,EUR_ESTCRV_3M,
6Y9M,EUR_ESTCRV_3M,
7Y,EUR_ESTCRV_3M,0.01627
7Y3M,EUR_ESTCRV_3M,
7Y6M,EUR_ESTCRV_3M,
7Y9M,EUR_ESTCRV_3M,
8Y,EUR_ESTCRV_3M,0.01698
8Y3M,EUR_ESTCRV_3M,
8Y6M,EUR_ESTCRV_3M,
8Y9M,EUR_ESTCRV_3M,
9Y,EUR_ESTCRV_3M,0.01767
9Y3M,EUR_ESTCRV_3M,
9Y6M,EUR_ESTCRV_3M,
9Y9M,EUR_ESTCRV_3M,
10Y,EUR_ESTCRV_3M,0.01832
10Y3M,EUR_ESTCRV_3M,
10Y6M,EUR_ESTCRV_3M,
10Y9M,EUR_ESTCRV_3M,
11Y,EUR_ESTCRV_3M,0.01889
11Y3M,EUR_ESTCRV_3M,
11Y6M,EUR_ESTCRV_3M,
11Y9M,EUR_ESTCRV_3M,
12Y,EUR_ESTCRV_3M,0.0194
12Y3M,EUR_ESTCRV_3M,
12Y6M,EUR_ESTCRV_3M,
12Y9M,EUR_ESTCRV_3M,
13Y,EUR_ESTCRV_3M,0.019791667
13Y3M,EUR_ESTCRV_3M,
13Y6M,EUR_ESTCRV_3M,
13Y9M,EUR_ESTCRV_3M,
14Y,EUR_ESTCRV_3M,0.020073333
14Y3M,EUR_ESTCRV_3M,
14Y6M,EUR_ESTCRV_3M,
14Y9M,EUR_ESTCRV_3M,
15Y,EUR_ESTCRV_3M,0.02025
15Y3M,EUR_ESTCRV_3M,
15Y6M,EUR_ESTCRV_3M,
15Y9M,EUR_ESTCRV_3M,
16Y,EUR_ESTCRV_3M,0.0203
16Y3M,EUR_ESTCRV_3M,
16Y6M,EUR_ESTCRV_3M,
16Y9M,EUR_ESTCRV_3M,
17Y,EUR_ESTCRV_3M,0.020265
17Y3M,EUR_ESTCRV_3M,
17Y6M,EUR_ESTCRV_3M,
17Y9M,EUR_ESTCRV_3M,
18Y,EUR_ESTCRV_3M,0.02016
18Y3M,EUR_ESTCRV_3M,
18Y6M,EUR_ESTCRV_3M,
18Y9M,EUR_ESTCRV_3M,
19Y,EUR_ESTCRV_3M,0.020015
19Y3M,EUR_ESTCRV_3M,
19Y6M,EUR_ESTCRV_3M,
19Y9M,EUR_ESTCRV_3M,
20Y,EUR_ESTCRV_3M,0.01985
20Y3M,EUR_ESTCRV_3M,
20Y6M,EUR_ESTCRV_3M,
20Y9M,EUR_ESTCRV_3M,
21Y,EUR_ESTCRV_3M,0.019659
21Y3M,EUR_ESTCRV_3M,
21Y6M,EUR_ESTCRV_3M,
21Y9M,EUR_ESTCRV_3M,
22Y,EUR_ESTCRV_3M,0.019458
22Y3M,EUR_ESTCRV_3M,
22Y6M,EUR_ESTCRV_3M,
22Y9M,EUR_ESTCRV_3M,
23Y,EUR_ESTCRV_3M,0.019257
23Y3M,EUR_ESTCRV_3M,
23Y6M,EUR_ESTCRV_3M,
23Y9M,EUR_ESTCRV_3M,
24Y,EUR_ESTCRV_3M,0.019056
24Y3M,EUR_ESTCRV_3M,
24Y6M,EUR_ESTCRV_3M,
24Y9M,EUR_ESTCRV_3M,
25Y,EUR_ESTCRV_3M,0.01886
25Y3M,EUR_ESTCRV_3M,
25Y6M,EUR_ESTCRV_3M,
25Y9M,EUR_ESTCRV_3M,
26Y,EUR_ESTCRV_3M,
26Y3M,EUR_ESTCRV_3M,
26Y6M,EUR_ESTCRV_3M,
26Y9M,EUR_ESTCRV_3M,
27Y,EUR_ESTCRV_3M,
27Y3M,EUR_ESTCRV_3M,
27Y6M,EUR_ESTCRV_3M,
27Y9M,EUR_ESTCRV_3M,
28Y,EUR_ESTCRV_3M,
28Y3M,EUR_ESTCRV_3M,
28Y6M,EUR_ESTCRV_3M,
28Y9M,EUR_ESTCRV_3M,
29Y,EUR_ESTCRV_3M,
29Y3M,EUR_ESTCRV_3M,
29Y6M,EUR_ESTCRV_3M,
29Y9M,EUR_ESTCRV_3M,
30Y,EUR_ESTCRV_3M,0.01787
