tenor,generator,quote
ON,EUR ESTER FIXING,-0.00583
TN,EUR ESTER FIXING,-0.00583
1W,EUR ESTER CURVE,-0.005751
2W,EUR ESTER CURVE,-0.0058
1M,EUR ESTER CURVE,-0.005795
2M,EUR ESTER CURVE,-0.005695
3M,EUR ESTER CURVE,-0.005455
4M,EUR ESTER CURVE,-0.004935
5M,EUR ESTER CURVE,-0.004335
6M,EUR ESTER CURVE,-0.003725
7M,EUR ESTER CURVE,-0.002995
8M,EUR ESTER CURVE,-0.002365
9M,EUR ESTER CURVE,-0.00164
10M,EUR ESTER CURVE,-0.001
11M,EUR ESTER CURVE,-0.00021
1Y,EUR ESTER CURVE,0.000505
1Y3M,EUR ESTER CURVE,0.002625
1Y6M,EUR ESTER CURVE,0.004475
1Y9M,EUR ESTER CURVE,-0.000892
2Y,EUR ESTER CURVE,0.007045
3Y,EUR ESTER CURVE,0.009355
4Y,EUR ESTER CURVE,0.010395
5Y,EUR ESTER CURVE,0.010915
6Y,EUR ESTER CURVE,0.01139
7Y,EUR ESTER CURVE,0.01187
8Y,EUR ESTER CURVE,0.01242
9Y,EUR ESTER CURVE,0.012995
10Y,EUR ESTER CURVE,0.013555
11Y,EUR ESTER CURVE,0.01408
12Y,EUR ESTER CURVE,0.01458
13Y,EUR ESTER CURVE,0.01499
14Y,EUR ESTER CURVE,0.015305
15Y,EUR ESTER CURVE,0.01552
16Y,EUR ESTER CURVE,0.015523
17Y,EUR ESTER CURVE,0.015526
18Y,EUR ESTER CURVE,0.015529
19Y,EUR ESTER CURVE,0.015532
20Y,EUR ESTER CURVE,0.015535
21Y,EUR ESTER CURVE,0.015345
22Y,EUR ESTER CURVE,0.015155
23Y,EUR ESTER CURVE,0.014965
24Y,EUR ESTER CURVE,0.014775
25Y,EUR ESTER CURVE,0.014585
26Y,EUR ESTER CURVE,0.014381
27Y,EUR ESTER CURVE,0.014177
28Y,EUR ESTER CURVE,0.013973
29Y,EUR ESTER CURVE,0.013769
30Y,EUR ESTER CURVE,0.013565
