tenor,generator,quote
ON,USD_3M_MANUAL,-0.001675
TN,USD_3M_MANUAL,-0.001675
1M,USD_3M_MANUAL,0.004764
2M,USD_3M_MANUAL,0.011212
3M,USD MM FIX,0.0161071
4M,USD LIBOR 3M RC,0.01973
5M,USD LIBOR 3M RC,0.02207
6M,USD LIBOR 3M LCH,0.02044
7M,USD LIBOR 3M RC,0.02679
8M,USD LIBOR 3M RC,0.02859
9M,USD LIBOR 3M LCH,0.0238
10M,USD LIBOR 3M RC,0.031421
11M,USD LIBOR 3M RC,0.03184
1Y,USD LIBOR 3M LCH,0.02613
1Y3M,USD LIBOR 3M LCH,0.02749
1Y6M,USD LIBOR 3M LCH,0.02826
1Y9M,USD LIBOR 3M LCH,
2Y,USD LIBOR 3M LCH,0.02896
2Y3M,USD LIBOR 3M LCH,
2Y6M,USD LIBOR 3M LCH,
2Y9M,USD LIBOR 3M LCH,
3Y,USD LIBOR 3M LCH,0.02896
3Y3M,USD LIBOR 3M LCH,
3Y6M,USD LIBOR 3M LCH,
3Y9M,USD LIBOR 3M LCH,
4Y,USD LIBOR 3M LCH,0.0287
4Y3M,USD LIBOR 3M LCH,
4Y6M,USD LIBOR 3M LCH,
4Y9M,USD LIBOR 3M LCH,
5Y,USD LIBOR 3M LCH,0.02859
5Y3M,USD LIBOR 3M LCH,
5Y6M,USD LIBOR 3M LCH,
5Y9M,USD LIBOR 3M LCH,
6Y,USD LIBOR 3M LCH,0.0286
6Y3M,USD LIBOR 3M LCH,
6Y6M,USD LIBOR 3M LCH,
6Y9M,USD LIBOR 3M LCH,
7Y,USD LIBOR 3M LCH,0.0287
7Y3M,USD LIBOR 3M LCH,
7Y6M,USD LIBOR 3M LCH,
7Y9M,USD LIBOR 3M LCH,
8Y,USD LIBOR 3M LCH,0.02881
8Y3M,USD LIBOR 3M LCH,
8Y6M,USD LIBOR 3M LCH,
8Y9M,USD LIBOR 3M LCH,
9Y,USD LIBOR 3M LCH,0.02897
9Y3M,USD LIBOR 3M LCH,
9Y6M,USD LIBOR 3M LCH,
9Y9M,USD LIBOR 3M LCH,
10Y,USD LIBOR 3M LCH,0.02916
10Y3M,USD LIBOR 3M LCH,
10Y6M,USD LIBOR 3M LCH,
10Y9M,USD LIBOR 3M LCH,
11Y,USD LIBOR 3M LCH,
11Y3M,USD LIBOR 3M LCH,
11Y6M,USD LIBOR 3M LCH,
11Y9M,USD LIBOR 3M LCH,
12Y,USD LIBOR 3M LCH,0.02954
12Y3M,USD LIBOR 3M LCH,
12Y6M,USD LIBOR 3M LCH,
12Y9M,USD LIBOR 3M LCH,
13Y,USD LIBOR 3M LCH,
13Y3M,USD LIBOR 3M LCH,
13Y6M,USD LIBOR 3M LCH,
13Y9M,USD LIBOR 3M LCH,
14Y,USD LIBOR 3M LCH,
14Y3M,USD LIBOR 3M LCH,
14Y6M,USD LIBOR 3M LCH,
14Y9M,USD LIBOR 3M LCH,
15Y,USD LIBOR 3M LCH,0.02993
15Y3M,USD LIBOR 3M LCH,
15Y6M,USD LIBOR 3M LCH,
15Y9M,USD LIBOR 3M LCH,
16Y,USD LIBOR 3M LCH,
16Y3M,USD LIBOR 3M LCH,
16Y6M,USD LIBOR 3M LCH,
16Y9M,USD LIBOR 3M LCH,
17Y,USD LIBOR 3M LCH,
17Y3M,USD LIBOR 3M LCH,
17Y6M,USD LIBOR 3M LCH,
17Y9M,USD LIBOR 3M LCH,
18Y,USD LIBOR 3M LCH,
18Y3M,USD LIBOR 3M LCH,
18Y6M,USD LIBOR 3M LCH,
18Y9M,USD LIBOR 3M LCH,
19Y,USD LIBOR 3M LCH,
19Y3M,USD LIBOR 3M LCH,
19Y6M,USD LIBOR 3M LCH,
19Y9M,USD LIBOR 3M LCH,
20Y,USD LIBOR 3M LCH,0.02983
20Y3M,USD LIBOR 3M LCH,
20Y6M,USD LIBOR 3M LCH,
20Y9M,USD LIBOR 3M LCH,
21Y,USD LIBOR 3M LCH,
21Y3M,USD LIBOR 3M LCH,
21Y6M,USD LIBOR 3M LCH,
21Y9M,USD LIBOR 3M LCH,
22Y,USD LIBOR 3M LCH,
22Y3M,USD LIBOR 3M LCH,
22Y6M,USD LIBOR 3M LCH,
22Y9M,USD LIBOR 3M LCH,
23Y,USD LIBOR 3M LCH,
23Y3M,USD LIBOR 3M LCH,
23Y6M,USD LIBOR 3M LCH,
23Y9M,USD LIBOR 3M LCH,
24Y,USD LIBOR 3M LCH,
24Y3M,USD LIBOR 3M LCH,
24Y6M,USD LIBOR 3M LCH,
24Y9M,USD LIBOR 3M LCH,
25Y,USD LIBOR 3M LCH,0.02912
25Y3M,USD LIBOR 3M LCH,
25Y6M,USD LIBOR 3M LCH,
25Y9M,USD LIBOR 3M LCH,
26Y,USD LIBOR 3M LCH,
26Y3M,USD LIBOR 3M LCH,
26Y6M,USD LIBOR 3M LCH,
26Y9M,USD LIBOR 3M LCH,
27Y,USD LIBOR 3M LCH,
27Y3M,USD LIBOR 3M LCH,
27Y6M,USD LIBOR 3M LCH,
27Y9M,USD LIBOR 3M LCH,
28Y,USD LIBOR 3M LCH,
28Y3M,USD LIBOR 3M LCH,
28Y6M,USD LIBOR 3M LCH,
28Y9M,USD LIBOR 3M LCH,
29Y,USD LIBOR 3M LCH,
29Y3M,USD LIBOR 3M LCH,
29Y6M,USD LIBOR 3M LCH,
29Y9M,USD LIBOR 3M LCH,
30Y,USD LIBOR 3M LCH,0.02834
