tenor,generator,quote
ON,STFX_FXD_USDEUR,0.00004148
TN,STFX_FXD_USDEUR,0.0000425
1W,STFX_FXD_USDEUR,0.000302
2W,STFX_FXD_USDEUR,0.00061
3W,STFX_FXD_USDEUR,0.0010245
1M,STFX_FXD_USDEUR,0.001791
2M,STFX_FXD_USDEUR,0.003479
3M,STFX_FXD_USDEUR,0.00549
4M,STFX_FXD_USDEUR,0.0075115
5M,STFX_FXD_USDEUR,0.0095055
6M,STFX_FXD_USDEUR,0.011547
7M,STFX_FXD_USDEUR,0.014457
8M,STFX_FXD_USDEUR,0.0165175
9M,STFX_FXD_USDEUR,0.018478
10M,STFX_FXD_USDEUR,0.0207565
11M,STFX_FXD_USDEUR,0.022657
1Y,STFX_FXD_USDEUR,0.024621
1Y3M,STFX_FXD_USDEUR,0.0303735
1Y6M,STFX_FXD_USDEUR,0.03524
1Y9M,BS_USDEUR_STFX,-0.0017625
2Y,BS_USDEUR_STFX,-0.0017625
2Y3M,BS_USDEUR_STFX,
2Y6M,BS_USDEUR_STFX,
2Y9M,BS_USDEUR_STFX,
3Y,BS_USDEUR_STFX,-0.00185
3Y3M,BS_USDEUR_STFX,
3Y6M,BS_USDEUR_STFX,
3Y9M,BS_USDEUR_STFX,
4Y,BS_USDEUR_STFX,-0.0018375
4Y3M,BS_USDEUR_STFX,
4Y6M,BS_USDEUR_STFX,
4Y9M,BS_USDEUR_STFX,
5Y,BS_USDEUR_STFX,-0.0018375
5Y3M,BS_USDEUR_STFX,
5Y6M,BS_USDEUR_STFX,
5Y9M,BS_USDEUR_STFX,
6Y,BS_USDEUR_STFX,-0.0018375
6Y3M,BS_USDEUR_STFX,
6Y6M,BS_USDEUR_STFX,
6Y9M,BS_USDEUR_STFX,
7Y,BS_USDEUR_STFX,-0.0018375
7Y3M,BS_USDEUR_STFX,
7Y6M,BS_USDEUR_STFX,
7Y9M,BS_USDEUR_STFX,
8Y,BS_USDEUR_STFX,-0.0018375
8Y3M,BS_USDEUR_STFX,
8Y6M,BS_USDEUR_STFX,
8Y9M,BS_USDEUR_STFX,
9Y,BS_USDEUR_STFX,-0.0018375
9Y3M,BS_USDEUR_STFX,
9Y6M,BS_USDEUR_STFX,
9Y9M,BS_USDEUR_STFX,
10Y,BS_USDEUR_STFX,-0.0018375
10Y3M,BS_USDEUR_STFX,
10Y6M,BS_USDEUR_STFX,
10Y9M,BS_USDEUR_STFX,
11Y,BS_USDEUR_STFX,
11Y3M,BS_USDEUR_STFX,
11Y6M,BS_USDEUR_STFX,
11Y9M,BS_USDEUR_STFX,
12Y,BS_USDEUR_STFX,-0.0017025
12Y3M,BS_USDEUR_STFX,
12Y6M,BS_USDEUR_STFX,
12Y9M,BS_USDEUR_STFX,
13Y,BS_USDEUR_STFX,
13Y3M,BS_USDEUR_STFX,
13Y6M,BS_USDEUR_STFX,
13Y9M,BS_USDEUR_STFX,
14Y,BS_USDEUR_STFX,
14Y3M,BS_USDEUR_STFX,
14Y6M,BS_USDEUR_STFX,
14Y9M,BS_USDEUR_STFX,
15Y,BS_USDEUR_STFX,-0.0015
15Y3M,BS_USDEUR_STFX,
15Y6M,BS_USDEUR_STFX,
15Y9M,BS_USDEUR_STFX,
16Y,BS_USDEUR_STFX,
16Y3M,BS_USDEUR_STFX,
16Y6M,BS_USDEUR_STFX,
16Y9M,BS_USDEUR_STFX,
17Y,BS_USDEUR_STFX,
17Y3M,BS_USDEUR_STFX,
17Y6M,BS_USDEUR_STFX,
17Y9M,BS_USDEUR_STFX,
18Y,BS_USDEUR_STFX,
18Y3M,BS_USDEUR_STFX,
18Y6M,BS_USDEUR_STFX,
18Y9M,BS_USDEUR_STFX,
19Y,BS_USDEUR_STFX,
19Y3M,BS_USDEUR_STFX,
19Y6M,BS_USDEUR_STFX,
19Y9M,BS_USDEUR_STFX,
20Y,BS_USDEUR_STFX,-0.0007625
20Y3M,BS_USDEUR_STFX,
20Y6M,BS_USDEUR_STFX,
20Y9M,BS_USDEUR_STFX,
21Y,BS_USDEUR_STFX,
21Y3M,BS_USDEUR_STFX,
21Y6M,BS_USDEUR_STFX,
21Y9M,BS_USDEUR_STFX,
22Y,BS_USDEUR_STFX,
22Y3M,BS_USDEUR_STFX,
22Y6M,BS_USDEUR_STFX,
22Y9M,BS_USDEUR_STFX,
23Y,BS_USDEUR_STFX,
23Y3M,BS_USDEUR_STFX,
23Y6M,BS_USDEUR_STFX,
23Y9M,BS_USDEUR_STFX,
24Y,BS_USDEUR_STFX,
24Y3M,BS_USDEUR_STFX,
24Y6M,BS_USDEUR_STFX,
24Y9M,BS_USDEUR_STFX,
25Y,BS_USDEUR_STFX,2.50E-06
25Y3M,BS_USDEUR_STFX,
25Y6M,BS_USDEUR_STFX,
25Y9M,BS_USDEUR_STFX,
26Y,BS_USDEUR_STFX,
26Y3M,BS_USDEUR_STFX,
26Y6M,BS_USDEUR_STFX,
26Y9M,BS_USDEUR_STFX,
27Y,BS_USDEUR_STFX,
27Y3M,BS_USDEUR_STFX,
27Y6M,BS_USDEUR_STFX,
27Y9M,BS_USDEUR_STFX,
28Y,BS_USDEUR_STFX,
28Y3M,BS_USDEUR_STFX,
28Y6M,BS_USDEUR_STFX,
28Y9M,BS_USDEUR_STFX,
29Y,BS_USDEUR_STFX,
29Y3M,BS_USDEUR_STFX,
29Y6M,BS_USDEUR_STFX,
29Y9M,BS_USDEUR_STFX,
30Y,BS_USDEUR_STFX,0.0008125
