yr_fracs,zrs
0.0027397,-0.0085329
0.0931507,-0.0069821
0.1726027,-0.0053359
0.2575342,-0.0034579
0.3424658,-0.0026843
0.4246575,-0.0015236
0.5068493,-0.0003441
0.5917808,0.0004033
0.6767123,0.0013384
0.7534247,0.0022772
0.8410959,0.0030109
0.9205479,0.0037959
1.0054795,0.0047364
1.090411,0.0053373
1.1726027,0.0059945
1.2630137,0.0068039
1.5123288,0.008411
1.7616438,0.0096686
2.0109589,0.0106236
3.0082192,0.0127052
4.0082192,0.0139706
5.0082192,0.0149029
6.0109589,0.0156473
7.0164384,0.016363
8.0136986,0.0171057
9.0109589,0.0178334
10.0136986,0.0185193
11.0136986,0.0191295
12.0136986,0.0196797
13.0191781,0.0201017
14.0164384,0.0203989
15.0164384,0.0205825
16.0164384,0.0206203
17.0164384,0.0205599
18.0246575,0.0204146
19.0219178,0.0202262
20.0191781,0.020015
21.0191781,0.0197734
22.0219178,0.0195181
23.0219178,0.0192664
24.0273973,0.0190154
25.0246575,0.0187712
30.030137,0.0175403
35.0356164,0.0167169
40.0328767,0.0160577
45.0356164,0.0154895
50.0410959,0.0149194
