yr_fracs,zrs
0.002739726,0.008252454
0.005479452,0.008435309
0.008219178,0.008560833
0.024657534,0.008816961
0.04109589,0.008887709
0.043835616,0.008925317
0.063013699,0.010497022
0.082191781,0.011530873
0.084931507,0.012260318
0.095890411,0.01254437
0.161643836,0.013682122
0.169863014,0.013825121
0.17260274,0.013888703
0.252054795,0.015747877
0.254794521,0.01578374
0.257534247,0.015819547
0.309589041,0.016551102
0.334246575,0.01688611
0.342465753,0.01735506
0.419178082,0.018523982
0.421917808,0.018563051
0.424657534,0.018601984
0.501369863,0.019876064
0.504109589,0.019920033
0.506849315,0.019963896
0.55890411,0.020747655
0.583561644,0.0210925
0.594520548,0.02230559
0.671232877,0.023151147
0.673972603,0.023181517
0.676712329,0.023211171
0.747945205,0.024011213
0.750684932,0.024041497
0.753424658,0.024071757
0.789041096,0.024471851
0.832876712,0.024952056
0.84109589,0.025041279
0.909589041,0.025607197
0.920547945,0.025697991
1,0.026291439
1.002739726,0.026312355
1.005479452,0.026333291
1.265753425,0.027836225
1.512328767,0.028662971
2.019178082,0.029262421
3.019178082,0.029268739
4.024657534,0.028910944
5.021917808,0.02874676
6.021917808,0.028693655
7.021917808,0.028716203
8.021917808,0.028775643
9.021917808,0.028895966
10.02739726,0.029082988
12.02465753,0.029388606
15.03287671,0.029803471
20.03013699,0.029328672
25.03287671,0.027891887
30.03835616,0.02630167
40.04383562,0.022968523
50.05205479,0.019573515
